C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,Ms
0.16,0.8,0.2,1.05,1.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0
0.18,0.93,0.26,1.11,1.34,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.5
0.95,0.5,0.24,4.9,0.26,1.03,0.0,0.0,0.02,0.0,0.22,0.0,0.0,0.0,0.0,473.0
0.004,0.03,1.90308,0.0,22.07181,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,427.59444
0.29,1.67,0.26,0.12,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.5
0.85,0.0,0.0,4.0,0.0,8.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0
0.98,1.84,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0
0.8,3.52,1.67,1.01,0.0,0.24,0.0,1.44,0.01,0.99,0.0,0.0,0.0,0.0,0.0,423.0
0.11,0.46,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0
1.03,0.22,0.17,0.07,0.1,0.01,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,433.0
0.15,0.6,0.3,1.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0
0.12,0.45,0.4,0.62,0.31,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,718.0
0.46,0.3,0.28,0.99,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.15
0.4,0.52,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0
0.17,0.47,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.0
0.49,0.78,0.26,1.04,0.5,0.96,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0
0.004,0.03,0.075,0.0,21.12676,0.0,0.0,6.10329,0.0,0.0,0.0,0.0,0.0,0.0,0.002,544.26111
0.58,0.65,0.3,0.12,0.05,0.5,0.03,0.0,0.051,0.0,0.08,0.0,0.0,0.0,0.0,558.0
0.41,0.73,0.42,0.75,4.54,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0
